Métrica,count,mean,std,min,5%,25%,50%,75%,95%,max
Min_stats_keeper_per90,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s_stats_keeper_per90,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starts_stats_keeper_per90,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s_stats_keeper_adv_per90,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min_stats_playing_time_per90,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP_stats_keeper_per90,5096.0,1.353456345458337,11.037597825887199,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Rk_stats_playing_time_per90,5096.0,3.0373701827658173,12.540134301854179,0.0,0.0686125600989821,0.39013889940181856,0.47096152013620857,0.5732233076559661,9.43178619978099,99.99999999999999
Born_stats_passing_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_misc_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_passing_types_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_shooting_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_gca_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_defense_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Born_stats_possession_per90,5096.0,3.0710522143926298,12.071454035712414,0.0,0.011057182630258688,0.10380319810351127,0.3058830850645605,0.9790332706086229,13.275028383829747,100.00000000000001
Age_stats_playing_time_per90,5096.0,3.129923291654566,12.873524257977714,0.0,0.038629947353848504,0.29008357472007845,0.35218720004004567,0.4564195616627402,11.703464940966363,99.99999999999999
Rk_stats_passing_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_stats_gca_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_stats_possession_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_stats_defense_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_stats_passing_types_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Rk_stats_shooting_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
